model,fold,corruption,clean_f1,macro_f1,induced_change
Drop30 + darkening,0,jpeg_75,0.7547710076848763,0.7079688245790237,-0.0468021831058526
Drop30 + darkening,0,brightness_085,0.7547710076848763,0.6641085948034051,-0.09066241288147114
Drop30 + darkening,0,brightness_115,0.7547710076848763,0.7011309950631591,-0.05364001262171714
Drop30 + darkening,0,translation_003,0.7547710076848763,0.7067917750585978,-0.047979232626278456
Drop30 + darkening,0,grayscale,0.7547710076848763,0.6753109498005146,-0.07946005788436161
Drop30 + darkening,4,jpeg_75,0.7285251685932436,0.7212768612996091,-0.0072483072936344595
Drop30 + darkening,4,brightness_085,0.7285251685932436,0.6544249827316038,-0.0741001858616398
Drop30 + darkening,4,brightness_115,0.7285251685932436,0.7218695401205198,-0.006655628472723718
Drop30 + darkening,4,translation_003,0.7285251685932436,0.7065934823737334,-0.021931686219510138
Drop30 + darkening,4,grayscale,0.7285251685932436,0.6810004446079014,-0.04752472398534213
Drop45 + darkening,0,jpeg_75,0.7311516188505759,0.6974206250531582,-0.03373099379741773
Drop45 + darkening,0,brightness_085,0.7311516188505759,0.632367583997803,-0.09878403485277287
Drop45 + darkening,0,brightness_115,0.7311516188505759,0.6984443929355038,-0.032707225915072136
Drop45 + darkening,0,translation_003,0.7311516188505759,0.6964757467221409,-0.03467587212843504
Drop45 + darkening,0,grayscale,0.7311516188505759,0.6671950213305669,-0.06395659752000904
Drop45 + darkening,4,jpeg_75,0.7276615186270654,0.7188753047997873,-0.008786213827278067
Drop45 + darkening,4,brightness_085,0.7276615186270654,0.6888626597308027,-0.03879885889626267
Drop45 + darkening,4,brightness_115,0.7276615186270654,0.7212604000398004,-0.006401118587264998
Drop45 + darkening,4,translation_003,0.7276615186270654,0.7108868951895622,-0.016774623437503244
Drop45 + darkening,4,grayscale,0.7276615186270654,0.6750951796827059,-0.05256633894435947
E6,0,jpeg_75,0.7196395720085685,0.6684326991117939,-0.05120687289677461
E6,0,brightness_085,0.7196395720085685,0.548526700677004,-0.1711128713315645
E6,0,brightness_115,0.7196395720085685,0.6933145201890704,-0.02632505181949818
E6,0,translation_003,0.7196395720085685,0.5631904441477565,-0.156449127860812
E6,0,grayscale,0.7196395720085685,0.6810551818083945,-0.03858439020017401
E6,4,jpeg_75,0.7262729810998492,0.708691507224271,-0.01758147387557818
E6,4,brightness_085,0.7262729810998492,0.538399056877854,-0.18787392422199511
E6,4,brightness_115,0.7262729810998492,0.6897417696958268,-0.03653121140402238
E6,4,translation_003,0.7262729810998492,0.6028038058985162,-0.12346917520133294
E6,4,grayscale,0.7262729810998492,0.692745653197486,-0.033527327902363124
G2,0,jpeg_75,0.7604983529055681,0.740290378111483,-0.020207974794085093
G2,0,brightness_085,0.7604983529055681,0.5332394707888038,-0.22725888211676426
G2,0,brightness_115,0.7604983529055681,0.7206981179370624,-0.03980023496850571
G2,0,translation_003,0.7604983529055681,0.7255785505313938,-0.03491980237417436
G2,0,grayscale,0.7604983529055681,0.7025989242517422,-0.05789942865382591
G2,4,jpeg_75,0.7304612751770436,0.7058450822711115,-0.02461619290593209
G2,4,brightness_085,0.7304612751770436,0.5279763836908262,-0.2024848914862174
G2,4,brightness_115,0.7304612751770436,0.7087008931865004,-0.0217603819905432
G2,4,translation_003,0.7304612751770436,0.7315614223031316,0.0011001471260879692
G2,4,grayscale,0.7304612751770436,0.6912961955965486,-0.03916507958049498
