model,fold,class_name,train_f1,validation_f1,gap,train_support,validation_support
Drop30 + darkening,0,Boys,0.9806807727690892,0.6772908366533864,0.30338993611570275,548,136
Drop30 + darkening,0,Girls,0.9726651480637813,0.6545454545454545,0.3181196935183268,436,107
Drop30 + darkening,0,Men,0.987332913429911,0.9359878335407161,0.0513450798891949,14203,3550
Drop30 + darkening,0,Unisex,0.8952741020793951,0.5892255892255892,0.30604851285380585,1411,355
Drop30 + darkening,0,Women,0.9876376480365676,0.9168053244592346,0.07083232357733305,9622,2405
Drop30 + darkening,4,Boys,0.974169741697417,0.6666666666666666,0.30750307503075036,546,138
Drop30 + darkening,4,Girls,0.969767441860465,0.53,0.439767441860465,434,109
Drop30 + darkening,4,Men,0.9876491375389245,0.9362411446034171,0.05140799293550735,14201,3552
Drop30 + darkening,4,Unisex,0.9068645640074211,0.5909797822706065,0.31588478173681456,1413,353
Drop30 + darkening,4,Women,0.9880283156360607,0.9187382494255275,0.06929006621053324,9622,2405
Drop45 + darkening,0,Boys,0.9649446494464945,0.614785992217899,0.3501586572285955,548,136
Drop45 + darkening,0,Girls,0.9390519187358917,0.5951219512195123,0.3439299675163794,436,107
Drop45 + darkening,0,Men,0.9808806084711464,0.9339609580506716,0.04691965042047486,14203,3550
Drop45 + darkening,0,Unisex,0.8402321083172146,0.5980066445182725,0.24222546379894216,1411,355
Drop45 + darkening,0,Women,0.9797638245851323,0.9138825482465243,0.06588127633860807,9622,2405
Drop45 + darkening,4,Boys,0.9586016559337626,0.6619217081850534,0.2966799477487092,546,138
Drop45 + darkening,4,Girls,0.9368541905855339,0.5490196078431372,0.3878345827423967,434,109
Drop45 + darkening,4,Men,0.9818562456385206,0.9313358302122348,0.050520415426285825,14201,3552
Drop45 + darkening,4,Unisex,0.8690386071158213,0.5842349304482225,0.28480367666759876,1413,353
Drop45 + darkening,4,Women,0.9804923847277278,0.9117955164466793,0.06869686828104848,9622,2405
E6,0,Boys,1.0,0.627450980392157,0.37254901960784303,548,136
E6,0,Girls,1.0,0.5445544554455445,0.4554455445544555,436,107
E6,0,Men,1.0,0.9271193472548749,0.07288065274512512,14203,3550
E6,0,Unisex,1.0,0.6009693053311793,0.3990306946688207,1411,355
E6,0,Women,1.0,0.8981037716190873,0.10189622838091272,9622,2405
E6,4,Boys,1.0,0.651685393258427,0.348314606741573,546,138
E6,4,Girls,1.0,0.5595854922279793,0.44041450777202074,434,109
E6,4,Men,0.9999647924515016,0.9309724719878268,0.06899232046367476,14201,3552
E6,4,Unisex,0.9996460176991151,0.5813586097946287,0.4182874079044864,1413,353
E6,4,Women,1.0,0.907762938230384,0.09223706176961599,9622,2405
G2,0,Boys,0.9954254345837146,0.6984126984126984,0.2970127361710162,548,136
G2,0,Girls,0.9942594718714123,0.6451612903225806,0.34909818154883165,436,107
G2,0,Men,0.9976444116302781,0.9346052813493709,0.06303913028090713,14203,3550
G2,0,Unisex,0.9799139167862266,0.6098360655737705,0.3700778512124562,1411,355
G2,0,Women,0.9984931150948299,0.9144764288694202,0.0840166862254097,9622,2405
G2,4,Boys,0.9963302752293578,0.6482758620689655,0.3480544131603923,546,138
G2,4,Girls,0.9953810623556582,0.5445026178010473,0.4508784445546109,434,109
G2,4,Men,0.9982056784998066,0.9390481491789591,0.0591575293208475,14201,3552
G2,4,Unisex,0.9839343091752945,0.5987841945288753,0.38515011464641913,1413,353
G2,4,Women,0.9990650322044463,0.9216955523073711,0.07736947989707521,9622,2405
